1950,	13
1951,	3	       
1952,	29						
1953,	11						
1954,	33						
1955,	28						
1956,	17						
1957,	28						
1958,	7						
1959,	12						
1960,	29						
1961,	40						
1962,	6						
1963,	2					
1964,	29						
1965,	24						
1966,	5						
1967,	20					
1968,	23						
1969,	2						
1970,	21						
1971,	16				        
1972,	14						
1973,	54						
1974,	14						
1975,	23						
1976,	33						
1977,	20						
1978,	57						
1979,	47						
1980,	26						
1981,	12						
1982,	102						
1983,	17						
1984,	31						
1985,	12						
1986,	3						
1987,	2						
1988,	21						
1989,	19						
1990,	21					
1991,	15						
1992,	6						
1993,	15						
1994,	16						
1995,	24					
1996,	33				
1997,	47						
1998,	39		
1999,	140	          
2000,	42						
2001,	52				       
2002,	39						
2003,	89				
2004,	58					
2005,	69					
2006,	35						
2007,	22						
2008,	110					
2009,	59						
2010,	47						
2011,	104						
2012,	23						
2013,	41						
2014,	25						
2015,	21						
2016,	28						
2017,	41						
2018,	36				
2019,	41						
2020,	46	       
2021,	41						
2022,	46		
